date,country,disaster_type,severity_index,casualties,economic_loss_usd,response_time_hours,aid_amount_usd,latitude,longitude
14-04-2019,Bangladesh,Storm Surge,2.31,33,2313181.16,25.83,148615.11,-50.086,151.193
01-12-2023,Australia,Earthquake,1.39,24,1424976.69,42.94,57234.21,-14.528,158.15
24-05-2022,Spain,Storm Surge,4.78,100,4833417.53,3.14,453897.51,-47.96,-149.09
31-10-2022,Italy,Wildfire,5.35,92,198166.32,10.18,234529.87,41.775,154.956
10-06-2023,Mexico,Drought,4.58,102,5508586.18,7.73,307567.28,25.56,-55.279
01-09-2023,Philippines,Earthquake,5.57,2,11574699.59,2.77,119415.5,13.191,83.48
15-02-2024,Indonesia,Landslide,5.99,69,4792100.68,17.47,250953.91,32.926,34.321
22-12-2019,Chile,Landslide,2.58,81,1621695.18,15.85,161696.39,48.778,-160.892
28-01-2020,Spain,Extreme Heat,10,188,8415642.38,6.41,125595.75,24.811,4.073
27-07-2022,Philippines,Earthquake,1.53,34,2023222.48,21.91,115428.94,-1.388,-59.575
04-01-2020,Germany,Extreme Heat,3.42,69,2995966.42,12.77,107600.31,22.014,102.437
24-02-2019,Canada,Storm Surge,6.39,135,5115469.42,1.17,383721.53,14.686,-81.254
01-03-2023,Brazil,Volcanic Eruption,4.75,56,9562186.52,12.73,148003.82,-15.948,132.316
21-07-2018,India,Wildfire,4.83,124,4767157.65,9.34,220321.12,-1.934,50.002
11-07-2019,Indonesia,Landslide,4.94,69,4209126.44,8.67,124475.54,51.972,101.952
19-09-2023,Mexico,Storm Surge,6.38,44,5502970.64,4.41,375407.37,-38.762,156.378
27-08-2018,Philippines,Flood,4.19,123,3399381.25,5.43,174768.42,42.108,71.297
09-05-2023,France,Earthquake,5.19,12,6071684.21,5.75,45084.34,28.4,165.53
02-01-2020,Mexico,Extreme Heat,4.47,88,7984253.19,14.18,69740.31,6.893,94.967
14-08-2021,Italy,Earthquake,3.21,95,844686.12,12.27,123628.98,14.214,-48.16
